priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
805,NCT00618956,Withdrawal by Subject,Overall Study,FG001,0.1235677103811011,0.9642936448017054,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
806,NCT01539083,Death,After Randomization (TP and VTP),FG002,0.1234504093441766,0.9642492339121552,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
807,NCT02963922,Adverse Event,Overall Study,FG000,0.1233910221888879,0.9642048230226052,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
808,NCT00707031,Adverse Event,Overall Study,FG001,0.123389877123383,0.964160412133055,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
809,NCT00707031,Adverse Event,Overall Study,FG000,0.123161723950764,0.9641160012435048,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
810,NCT03080883,Disease Progression,Overall Study,FG001,0.1227502656411904,0.9640715903539548,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
811,NCT02551874,Did not enter long-term study,Overall Study,FG001,0.1227501900415177,0.9640271794644046,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
812,NCT02195479,Lost to Follow-up,Overall Study,FG001,0.1226360971174007,0.9639827685748544,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
813,NCT00602472,Protocol Violation,Overall Study,FG001,0.1225989097083629,0.9639383576853044,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
814,NCT01624142,Study Closure,Overall Study,FG000,0.1225291677098898,0.9638939467957544,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
815,NCT01524289,Adverse Event,Overall Study,FG000,0.1223121830685902,0.963849535906204,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
816,NCT03057977,Withdrawal by Subject,Discontinuation From Treatment,FG001,0.1222922548182142,0.963805125016654,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
817,NCT01663402,Poor compliance to protocol,Overall Study,FG000,0.1221949430238394,0.963760714127104,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
818,NCT00662831,Adverse Event,Overall Study,FG000,0.1221901886210317,0.963716303237554,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
819,NCT01101035,Adverse Event,Overall Study,FG000,0.1221175391777381,0.9636718923480038,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
820,NCT00305604,Withdrawal by Subject,Overall Study,FG001,0.1219886443488592,0.9636274814584536,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
821,NCT02990338,Withdrawal by Subject,Overall Study,FG001,0.1219772701929762,0.9635830705689036,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
822,NCT02110901,Lost to Follow-up,Overall Study,FG000,0.1219650887559315,0.9635386596793534,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
823,NCT00622284,Withdrawal by Subject,Overall Study,FG000,0.1218944415822719,0.9634942487898032,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
824,NCT00660179,Death,Overall Study,FG000,0.121830271098254,0.9634498379002532,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
825,NCT01297920,Adverse Event,Overall Study,FG000,0.1218106970845239,0.963405427010703,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
826,NCT03211858,Other than specified above,Overall Study,FG001,0.1217424632617857,0.9633610161211528,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
827,NCT02634333,Death,Overall Study,FG000,0.1217011909627173,0.9633166052316028,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
828,NCT02076009,Withdrawal by Subject,Overall Study,FG001,0.1216098409348909,0.9632721943420528,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
829,NCT00740051,Lack of Efficacy,Overall Study,FG001,0.1215057515254761,0.9632277834525026,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
830,NCT00915772,Adverse Event,Overall Study,FG002,0.1214461639065584,0.9631833725629524,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
831,NCT00689936,Study Close Out,Active Treatment Phase,FG000,0.1213264448544047,0.9631389616734024,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
832,NCT04929249,Lost to Follow-up,Overall Study,FG001,0.1212474935586309,0.9630945507838522,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
833,NCT01272219,Withdrawal criteria,Main Period: Week 0 to Week 56,FG005,0.1211708790231845,0.963050139894302,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
834,NCT04873934,Lost to Follow-up,Overall Study,FG001,0.1210935045495832,0.963005729004752,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
835,NCT00044213,Withdrawal by Subject,Overall Study,FG002,0.1210815255160218,0.9629613181152018,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
836,NCT03436693,Adverse Event,Overall Study,FG001,0.1208896574196726,0.9629169072256516,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
837,NCT03683030,Enrolled but no catheter inserted,Overall Study,FG000,0.1208517167669732,0.9628724963361016,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
838,NCT01676220,Personal Reason,Overall Study,FG001,0.1207959133750297,0.9628280854465516,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
839,NCT04509674,"Adverse event, non-fatal event",Overall Study,FG001,0.1207676123282243,0.9627836745570014,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
840,NCT00571649,Adverse Event,Treatment Period,FG000,0.1206605198369445,0.9627392636674512,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
841,NCT00106704,Patient Received Glycemic Medication,Overall Study,FG001,0.1204559165909722,0.9626948527779012,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
842,NCT02252172,Withdrawal by Subject,Overall Study,FG001,0.1204421007452985,0.962650441888351,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
843,NCT01345019,Adverse Event,Open Label Treatment Phase,FG001,0.1202950506756548,0.9626060309988008,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
844,NCT00601250,Withdrawal by Subject,Overall Study,FG001,0.1202849580413798,0.9625616201092508,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
845,NCT03355664,Lost to Follow-up,Overall Study,FG000,0.1202191034114285,0.9625172092197006,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
846,NCT00103506,Study closed by sponsor,Overall Study,FG000,0.1198986458263392,0.9624727983301504,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
847,NCT00633893,Adverse Event,Overall Study,FG002,0.1197464918634028,0.9624283874406004,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
